time;TraceabilityCode;CushionPumpMaxPower3;time.value
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:42:23.345 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:43:18.944 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:43:28.234 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:43:37.505 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:43:46.874 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:44:14.703 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:44:23.993 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:44:42.552 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:44:51.903 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:45:01.114 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:45:10.312 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:48:19.250 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:49:33.519 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:49:42.957 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:50:10.628 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:50:19.907 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:50:38.476 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:50:47.667 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:51:15.506 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:51:43.437 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:52:01.986 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:52:11.115 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:52:20.565 CET
